NO#APT2018,NO2APT2018,Εθνικης Αμυνης(1392),Αγιου Δημητριου(1479),Αγιου Δημητριου(1514),Εθνικης Αμυνης(1803),Πανεπιστημιου(1896),Αγιου Δημητριου(2090),Αγιου Δημητριου(2183),Προς Αγιου Δημητριου(727),Αγιου Δημητριου(800),Προς Εθνικης Αμυνης(843)
nan,nan,19.0,52.25,42.666666666666664,16.0,nan,56.0,18.666666666666668,nan,nan,10.0
nan,nan,28.0,48.0,34.666666666666664,16.0,23.0,52.0,25.333333333333332,nan,nan,7.0
nan,nan,30.0,50.5,31.333333333333332,16.0,6.0,49.25,29.333333333333332,48.5,1.0,6.333333333333333
nan,nan,12.0,54.0,33.75,20.5,nan,49.25,18.0,nan,nan,16.5
nan,nan,nan,54.75,29.5,nan,22.0,48.75,31.333333333333332,31.5,nan,13.333333333333334
nan,nan,nan,52.25,22.333333333333332,22.0,35.0,49.75,32.0,32.0,23.0,32.0
nan,nan,10.5,51.75,36.0,9.0,33.0,48.25,21.0,29.0,nan,23.0
nan,nan,20.5,55.75,35.75,nan,29.0,50.25,25.75,31.5,nan,15.5
nan,nan,21.0,47.5,33.0,15.5,29.5,45.5,25.5,40.0,nan,24.0
nan,nan,nan,52.25,30.333333333333332,21.0,37.0,45.0,29.5,nan,nan,19.333333333333332
nan,nan,19.333333333333332,55.25,36.666666666666664,18.0,22.0,46.5,24.333333333333332,33.0,nan,3.0
nan,nan,20.0,44.25,35.0,3.0,23.5,44.75,31.0,22.0,nan,13.0
nan,nan,19.0,48.0,29.0,7.0,19.0,49.75,28.0,38.5,28.0,16.0
nan,nan,20.666666666666668,50.25,25.0,14.0,22.5,51.0,20.666666666666668,42.0,38.0,30.333333333333332
nan,nan,nan,47.75,32.5,nan,3.0,54.75,26.5,27.333333333333332,nan,15.0
nan,nan,nan,48.5,35.75,11.0,22.0,50.75,29.0,16.0,nan,44.0
nan,nan,20.0,52.5,25.333333333333332,nan,10.5,61.0,12.0,19.0,nan,33.0
nan,nan,nan,49.25,36.0,7.5,16.0,50.0,29.5,nan,nan,25.0
nan,nan,18.5,48.666666666666664,20.75,14.0,33.0,54.0,32.0,35.0,nan,nan
nan,nan,23.0,59.5,38.5,nan,nan,63.75,29.0,nan,17.0,27.0
nan,nan,nan,50.5,42.666666666666664,1.0,7.0,64.0,22.0,nan,nan,9.0
nan,nan,nan,56.666666666666664,35.75,nan,27.0,57.75,23.333333333333332,nan,nan,15.0
nan,nan,22.0,64.5,37.0,16.0,nan,52.75,36.5,nan,nan,35.0
