BenzAGS2018,CO#AGS2018,NO#AGS2018,NO2AGS2018,O3#AGS2018,PM10AGS2018,PM2.5AGS2018,SO2AGS2018,Πλατεια Αγιας Σοφιας(1264),Ερμου(2378),Καρολου Ντηλ(2872),Καρολου Ντηλ(3026),Πλατεια Αγιας Σοφιας(695),Ερμου(808),Πλατεια Αγιας Σοφιας(890),Πλατεια Αγιας Σοφιας(919),Ερμου(975)
2.38,nan,nan,nan,nan,nan,nan,nan,16.0,19.0,47.0,29.5,nan,28.5,22.5,25.0,35.0
3.36,nan,nan,nan,nan,nan,nan,nan,12.0,27.0,nan,16.0,9.0,32.0,nan,20.0,19.0
6.12,nan,nan,nan,nan,nan,nan,nan,22.0,20.5,23.5,18.666666666666668,17.5,24.0,17.0,11.5,23.5
7.91,nan,nan,nan,nan,nan,nan,nan,13.5,13.75,17.0,20.0,11.0,25.0,8.0,10.333333333333334,25.25
9.84,nan,nan,nan,nan,nan,nan,nan,23.0,14.5,19.0,15.0,5.0,21.5,12.0,18.0,18.5
8.84,nan,nan,nan,nan,nan,nan,nan,12.0,13.0,12.333333333333334,15.0,13.0,22.5,12.0,14.666666666666666,18.25
7.18,nan,nan,nan,nan,nan,nan,nan,7.0,11.5,16.0,14.25,nan,20.75,11.666666666666666,15.0,17.0
7.12,nan,nan,nan,nan,nan,nan,nan,nan,7.333333333333333,13.75,10.0,11.25,12.333333333333334,nan,10.0,11.0
6.7,nan,nan,nan,nan,nan,nan,nan,2.0,10.5,15.666666666666666,12.666666666666666,7.25,11.666666666666666,nan,3.0,14.0
6.41,nan,nan,nan,nan,nan,nan,nan,nan,4.333333333333333,13.0,19.25,17.0,nan,9.0,24.0,nan
5.37,nan,nan,nan,nan,nan,nan,nan,nan,11.5,24.0,10.75,nan,14.333333333333334,16.0,5.0,16.0
4.64,nan,nan,nan,nan,nan,nan,nan,13.5,17.25,13.75,11.75,15.0,17.0,11.5,6.5,15.666666666666666
6.52,nan,nan,nan,nan,nan,nan,nan,7.0,24.333333333333332,16.75,16.5,7.666666666666667,16.5,9.0,14.5,16.666666666666668
11.3,nan,nan,nan,nan,nan,nan,nan,10.0,18.25,15.0,17.25,14.666666666666666,15.0,7.333333333333333,16.5,14.666666666666666
12.11,nan,nan,nan,nan,nan,nan,nan,12.0,18.0,15.0,15.5,11.5,13.0,18.0,12.0,14.333333333333334
19.51,nan,nan,nan,nan,nan,nan,nan,4.0,15.666666666666666,12.5,17.666666666666668,8.0,17.666666666666668,11.5,13.5,17.0
17.92,nan,nan,nan,nan,nan,nan,nan,13.0,13.0,13.5,16.666666666666668,12.666666666666666,20.0,8.0,12.0,7.0
14.96,nan,nan,nan,nan,nan,nan,nan,15.0,19.5,13.0,12.666666666666666,16.5,16.0,12.0,17.0,18.666666666666668
15.18,nan,nan,nan,nan,nan,nan,nan,16.0,14.0,15.5,29.5,9.0,21.666666666666668,8.666666666666666,11.5,22.0
11.52,nan,nan,nan,nan,nan,nan,nan,22.666666666666668,29.0,13.666666666666666,31.75,11.0,26.333333333333332,21.0,19.0,30.666666666666668
14.72,nan,nan,nan,nan,nan,nan,nan,nan,22.0,15.0,31.5,nan,nan,10.5,18.0,5.0
12.78,nan,nan,nan,nan,nan,nan,nan,nan,28.666666666666668,44.0,33.666666666666664,9.0,30.666666666666668,nan,23.0,19.0
7.84,nan,nan,nan,nan,nan,nan,nan,nan,38.0,42.0,19.0,24.0,30.0,nan,nan,33.0
5.35,nan,nan,nan,nan,nan,nan,nan,21.0,21.333333333333332,43.0,54.0,nan,33.0,nan,nan,28.0
4.02,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan,52.5,13.0,nan,nan,nan,nan
4.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0,14.0,9.0,nan,19.0,nan,16.0
4.94,nan,nan,nan,nan,nan,nan,nan,nan,20.75,18.0,43.5,7.0,30.0,17.0,nan,nan
